Indicator,Geographical area,Dataset source,Date of data,Release date,Organisation,Source URL
Proportion of population aged 65 and over,England and Wales,Mid-Year Population Estimates - Lower layer Super Output Area population estimates,2020,16-Sep-21,Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimates
Proportion of population aged 65 and over,Scotland,Mid-Year Population Estimates - Data Zone population estimates,2021,1st September 2022,National Records of Scotland,https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/population/population-estimates/2011-based-special-area-population-estimates/small-area-population-estimates
Proportion of population aged 75 and over,England and Wales,Mid-Year Population Estimates - Lower layer Super Output Area population estimates,2020,16-Sep-21,Office for National Statistics,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimates
Proportion of population aged 75 and over,Scotland,Mid-Year Population Estimates - Data Zone population estimates,2019,27th August 2020,National Records of Scotland,"https://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/population/population-estimates/2011-based-special-area-population-estimates/small-area-population-estimates/mid-2019#:~:text=As%20at%20mid-2019%2C%20the%20average%20data%20zone%20population,zone%20you%20live%20in%20with%20our%20Interactive%20visualisation"
Proportion of homes unable to receive at least 10MBit/s,"England, Wales and Scotland",Connected Nations update - Spring 2022 - Fixed output area data,May-22,20th May 2022,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-spring-2022
Proportion of premises unable to receive at least 30MBit/s,"England, Wales and Scotland",Connected Nations update - Spring 2022 - Fixed output area data,May-22,20th May 2022,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-spring-2022
Average download speed,"England, Wales and Scotland",Connected Nations update - Spring 2022 - Fixed output area data,May-22,20th May 2022,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research/connected-nations-update-summer-2019
Unemployment rate,"England, Wales and Scotland",Alternative Claimant Count,Aug-22,11th October 2022,DWP,https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml
Index of Multiple Deprivation score,England,Index of Multiple Deprivation 2019 (based on English IMD calculation base),Various: 2011 - 2018,26th September 2019,mySociety,https://github.com/mysociety/composite_uk_imd/blob/master/gb_index/GB_IMD_E.csv
Index of Multiple Deprivation score,Scotland,Index of Multiple Deprivation 2019 (based on Scottish IMD calculation base),Various: 2011 - 2018,26th September 2019,mySociety,https://github.com/mysociety/composite_uk_imd/blob/master/gb_index/GB_IMD_S.csv
Index of Multiple Deprivation score,Wales,Index of Multiple Deprivation 2019 (based on Welsh IMD calculation base),Various: 2011 - 2018,26th September 2019,mySociety,https://github.com/mysociety/composite_uk_imd/blob/master/gb_index/GB_IMD_W.csv
Percentage of 16+ population with no qualifications,"England, Wales and Scotland",Census 2011,Mar-11,30th January 2013,Office for National Statistics,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=623
"Numbers of Guaranteed Pension Credit claimants per 1,000 residents aged 65+","England, Wales and Scotland",Pension Credit Caseload,May-22,15th November 2022,DWP,https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml
Percentage of residents whose day-to-day activities are limited,"England, Wales and Scotland",Census 2011,Mar-11,30th January 2013,Office for National Statistics,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=1547
Percentage of population in social grade DE,"England, Wales and Scotland",Census 2011,Mar-11,30th January 2013,Office for National Statistics,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=1574
